input,previous_output,output
0.521442,0.503350,0.476505
0.550451,0.476505,0.456371
0.556577,0.456371,0.442948
0.568829,0.442948,0.429525
0.572433,0.429525,0.429525
0.552073,0.429525,0.456371
0.512253,0.456371,0.496639
0.456938,0.496639,0.563753
0.383424,0.563753,0.624156
0.299280,0.624156,0.697981
0.233334,0.697981,0.751672
0.215496,0.751672,0.751672
0.254776,0.751672,0.724827
0.342703,0.724827,0.677847
0.403784,0.677847,0.630867
0.454595,0.630867,0.583887
0.505226,0.583887,0.510062
0.567748,0.510062,0.449659
0.628289,0.449659,0.402679
0.645406,0.402679,0.375834
0.647027,0.375834,0.348988
0.649910,0.348988,0.328854
0.667208,0.328854,0.295297
0.716937,0.295297,0.241606
0.809190,0.241606,0.187915
0.845406,0.187915,0.154358
0.837838,0.154358,0.134223
0.825586,0.134223,0.127512
0.819460,0.127512,0.127512
0.807748,0.127512,0.134223
0.779099,0.134223,0.167780
0.717298,0.167780,0.228183
0.631712,0.228183,0.295297
0.554235,0.295297,0.369122
0.510091,0.369122,0.416102
0.505226,0.416102,0.422814
0.549010,0.422814,0.409391
0.605586,0.409391,0.375834
0.662343,0.375834,0.295297
0.743244,0.295297,0.181203
0.970451,0.181203,0.093955
1.000000,0.093955,0.013418
0.996036,0.013418,0.000000
0.936757,0.000000,0.026841
0.836937,0.026841,0.087244
0.756937,0.087244,0.147646
0.708109,0.147646,0.174492
0.712613,0.174492,0.181203
0.779099,0.181203,0.154358
0.832613,0.154358,0.107378
0.853874,0.107378,0.107378
0.816397,0.107378,0.167780
0.585766,0.167780,0.255029
0.511352,0.255029,0.335565
0.490992,0.335565,0.395968
0.518920,0.395968,0.402679
0.610271,0.402679,0.375834
0.672973,0.375834,0.328854
0.695856,0.328854,0.302008
0.697478,0.302008,0.281874
0.689730,0.281874,0.268451
0.691352,0.268451,0.255029
0.709730,0.255029,0.248317
0.715856,0.248317,0.241606
0.697838,0.241606,0.248317
0.653874,0.248317,0.275163
0.601082,0.275163,0.315431
0.535316,0.315431,0.382545
0.438920,0.382545,0.483216
0.294776,0.483216,0.590599
0.209911,0.590599,0.697981
0.165226,0.697981,0.758384
0.160542,0.758384,0.798652
0.227028,0.798652,0.785229
0.319280,0.785229,0.738249
0.386667,0.738249,0.697981
0.411712,0.697981,0.657713
0.385406,0.657713,0.657713
0.316397,0.657713,0.724827
0.198199,0.724827,0.778518
0.151532,0.778518,0.832209
0.148650,0.832209,0.859055
0.174776,0.859055,0.859055
0.223785,0.859055,0.838920
0.272974,0.838920,0.812075
0.322343,0.812075,0.765095
0.394956,0.765095,0.697981
0.496577,0.697981,0.610733
0.631352,0.610733,0.510062
0.659280,0.510062,0.436236
0.656937,0.436236,0.402679
0.670631,0.402679,0.362411
0.694235,0.362411,0.328854
0.705226,0.328854,0.322143
0.679280,0.322143,0.362411
0.596577,0.362411,0.416102
0.474956,0.416102,0.456371
0.432793,0.456371,0.496639
0.437478,0.496639,0.523485
0.461802,0.523485,0.536907
0.469730,0.536907,0.543619
0.455676,0.543619,0.550330
0.443424,0.550330,0.550330
0.448109,0.550330,0.550330
0.488109,0.550330,0.516773
0.535136,0.516773,0.496639
0.548829,0.496639,0.489928
0.507748,0.489928,0.523485
0.413154,0.523485,0.604021
0.284145,0.604021,0.724827
0.079461,0.724827,0.832209
0.021983,0.832209,0.926169
0.000000,0.926169,0.979860
0.037118,0.979860,0.966437
0.166848,0.966437,0.926169
0.246848,0.926169,0.859055
0.294595,0.859055,0.805363
0.325406,0.805363,0.758384
0.331532,0.758384,0.724827
0.329911,0.724827,0.697981
0.345226,0.697981,0.677847
0.391352,0.677847,0.651001
0.414415,0.651001,0.630867
0.440541,0.630867,0.590599
0.489370,0.590599,0.543619
0.561983,0.543619,0.483216
0.640901,0.483216,0.402679
0.720901,0.402679,0.335565
0.778919,0.335565,0.255029
0.803964,0.255029,0.214760
0.792613,0.214760,0.194626
0.756937,0.194626,0.208049
0.668289,0.208049,0.241606
0.606127,0.241606,0.281874
0.593334,0.281874,0.322143
0.593334,0.322143,0.342277
0.603244,0.342277,0.355700
0.623964,0.355700,0.342277
0.651532,0.342277,0.328854
0.668289,0.328854,0.322143
0.663784,0.322143,0.308720
0.631712,0.308720,0.322143
0.561262,0.322143,0.375834
0.460361,0.375834,0.449659
0.389730,0.449659,0.510062
0.380721,0.510062,0.557042
0.412974,0.557042,0.570464
0.454415,0.570464,0.563753
0.480541,0.563753,0.536907
0.500181,0.536907,0.510062
0.518379,0.510062,0.496639
0.543604,0.496639,0.483216
0.582523,0.483216,0.449659
0.591352,0.449659,0.422814
0.590271,0.422814,0.402679
0.592613,0.402679,0.402679
0.596037,0.402679,0.389257
0.610271,0.389257,0.375834
0.657478,0.375834,0.342277
0.730271,0.342277,0.295297
0.752433,0.295297,0.255029
0.733154,0.255029,0.248317
0.628469,0.248317,0.275163
0.528649,0.275163,0.335565
0.446667,0.335565,0.416102
0.360721,0.416102,0.496639
0.291352,0.496639,0.563753
0.260722,0.563753,0.651001
0.277658,0.651001,0.691270
0.367568,0.691270,0.691270
0.495316,0.691270,0.604021
0.589550,0.604021,0.530196
0.605226,0.530196,0.456371
0.576577,0.456371,0.436236
0.509010,0.436236,0.449659
0.433514,0.449659,0.496639
0.363785,0.496639,0.550330
0.300722,0.550330,0.604021
0.269911,0.604021,0.657713
0.276217,0.657713,0.691270
0.332073,0.691270,0.691270
0.428830,0.691270,0.644290
0.500721,0.644290,0.590599
0.504505,0.590599,0.543619
0.489370,0.543619,0.536907
0.489550,0.536907,0.536907
0.527028,0.536907,0.510062
0.589550,0.510062,0.463082
0.630271,0.463082,0.429525
0.643964,0.429525,0.389257
0.654775,0.389257,0.362411
0.644685,0.362411,0.355700
0.564325,0.355700,0.456371
0.428830,0.456371,0.530196
0.316577,0.530196,0.671135
0.162704,0.671135,0.832209
0.060902,0.832209,0.932880
0.039100,0.932880,0.966437
0.043785,0.966437,0.993283
0.069551,0.993283,0.999994
0.119460,0.999994,0.979860
0.176037,0.979860,0.946303
0.262163,0.946303,0.899323
0.386848,0.899323,0.805363
0.464685,0.805363,0.724827
0.485046,0.724827,0.644290
0.480361,0.644290,0.597310
0.465046,0.597310,0.570464
0.439640,0.570464,0.570464
0.393154,0.570464,0.590599
0.332433,0.590599,0.664424
0.265406,0.664424,0.711404
0.230091,0.711404,0.765095
0.233154,0.765095,0.785229
0.277658,0.785229,0.791941
0.342884,0.791941,0.765095
0.375136,0.765095,0.724827
0.384505,0.724827,0.691270
0.376758,0.691270,0.664424
0.360902,0.664424,0.651001
0.336577,0.651001,0.644290
0.302163,0.644290,0.657713
0.246848,0.657713,0.697981
0.196037,0.697981,0.731538
0.197659,0.731538,0.771806
0.282343,0.771806,0.785229
0.401442,0.785229,0.751672
0.460541,0.751672,0.671135
0.488109,0.671135,0.630867
0.472793,0.630867,0.570464
0.377658,0.570464,0.583887
0.293695,0.583887,0.651001
0.214595,0.651001,0.724827
0.154596,0.724827,0.778518
0.123785,0.778518,0.818786
0.124686,0.818786,0.852343
0.136037,0.852343,0.872477
0.137659,0.872477,0.885900
0.166127,0.885900,0.885900
0.254776,0.885900,0.872477
0.303785,0.872477,0.832209
0.323965,0.832209,0.791941
0.345586,0.791941,0.765095
0.333154,0.765095,0.724827
0.300722,0.724827,0.718115
0.287028,0.718115,0.724827
0.331532,0.724827,0.724827
0.418199,0.724827,0.697981
0.522703,0.697981,0.644290
0.608649,0.644290,0.563753
0.617118,0.563753,0.496639
0.598379,0.496639,0.429525
0.579640,0.429525,0.402679
0.598019,0.402679,0.402679
0.659280,0.402679,0.369122
0.709730,0.369122,0.322143
0.714415,0.322143,0.295297
0.637838,0.295297,0.295297
0.507748,0.295297,0.429525
0.493874,0.429525,0.563753
0.558199,0.563753,0.637578
0.655496,0.637578,0.597310
0.675316,0.597310,0.483216
0.645406,0.483216,0.389257
0.584325,0.389257,0.348988
0.506127,0.348988,0.375834
0.406848,0.375834,0.429525
0.354595,0.429525,0.483216
0.318740,0.483216,0.550330
0.303965,0.550330,0.597310
0.322163,0.597310,0.624156
0.373154,0.624156,0.624156
0.412974,0.624156,0.617444
0.439640,0.617444,0.590599
0.460902,0.590599,0.543619
0.483424,0.543619,0.516773
0.507748,0.516773,0.483216
0.534595,0.483216,0.469793
0.539820,0.469793,0.469793
0.489370,0.469793,0.496639
0.400541,0.496639,0.583887
0.352613,0.583887,0.697981
0.340902,0.697981,0.765095
0.356037,0.765095,0.832209
0.394235,0.832209,0.872477
0.452613,0.872477,0.865766
0.495496,0.865766,0.852343
0.526127,0.852343,0.818786
0.534956,0.818786,0.785229
0.524505,0.785229,0.765095
